City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
124,dryden,49.7833,-92.7503,-0.84,40,100,6.69,CA,1743884585
125,marmaris,36.855,28.2742,13.13,89,10,1.52,TR,1743884585
126,mansa,29.9833,75.3833,24.78,15,1,0.66,IN,1743884587
127,grand falls-windsor,48.9332,-55.6649,0.84,56,96,2.68,CA,1743884589
128,nsunga,-1.1439,31.3947,18.24,96,100,0.99,TZ,1743884590
129,brampton,43.6834,-79.7663,9.88,95,100,2.06,CA,1743884365
130,howrah,22.5892,88.3103,28.0,83,20,3.6,IN,1743884592
131,ilulissat,69.2167,-51.1,-11.99,79,100,4.12,GL,1743884593
132,selkirk,50.1436,-96.8845,2.88,53,100,3.13,CA,1743884595
133,licheng,23.2955,113.8284,17.21,86,63,1.01,CN,1743884596
134,yaren,-0.5472,166.916,27.33,79,17,6.24,NR,1743884597
135,port mathurin,-19.6833,63.4167,27.44,80,100,6.24,MU,1743884598
136,beau vallon,-20.4189,57.6953,26.13,78,40,3.09,MU,1743884527
137,aykhal,66.0,111.5,-6.65,96,100,2.33,RU,1743884601
138,rumoi,43.9344,141.6428,1.42,88,81,3.24,JP,1743884602
139,bamboo flat,11.7,92.7167,25.05,94,75,1.03,IN,1743884603
140,umm ruwaba,12.9061,31.2158,29.69,12,6,5.65,SD,1743884606
141,codrington,-38.2667,141.9667,12.16,69,100,6.65,AU,1743884607
142,lubao,14.9167,120.55,27.84,80,100,2.29,PH,1743884608
143,sopur,34.3,74.4667,9.37,45,5,1.89,IN,1743884609
144,baikonur,45.6167,63.3167,16.62,38,100,3.31,KZ,1743884611
145,raduzhny,62.0961,77.475,-3.97,96,100,4.63,RU,1743884612
146,margaret river,-33.95,115.0667,16.77,81,95,6.16,AU,1743884613
147,gwadabawa,13.3561,5.2366,31.87,6,100,2.62,NG,1743884615
148,ghanzi,-21.5667,21.7833,18.9,88,100,2.8,BW,1743884617
149,dieppe,49.75,1.1667,10.57,82,0,5.56,FR,1743884618
150,corner brook,48.9667,-57.9484,-0.83,72,54,2.34,CA,1743884619
151,flying fish cove,-10.4217,105.6791,26.82,83,75,2.57,CX,1743884620
152,okha,53.5739,142.9478,-7.46,99,72,2.11,RU,1743884622
153,lihue,21.9789,-159.3672,24.77,83,100,8.75,US,1743884623
154,kirakira,-10.4544,161.9205,26.51,85,100,1.35,SB,1743884624
155,kiruna,67.8557,20.2251,-3.49,86,100,1.54,SE,1743884625
156,longview,32.5007,-94.7405,13.97,94,100,3.6,US,1743884568
157,timmins,48.4669,-81.3331,2.9,81,100,7.72,CA,1743884631
158,ixtapa,20.7,-105.2,24.57,65,20,7.2,MX,1743884633
159,vernon,50.2581,-119.2691,14.74,36,23,2.06,CA,1743884546
160,palikir - national government center,6.9248,158.1611,26.63,89,100,2.57,FM,1743884635
161,nguruka,-5.1092,31.0419,19.26,95,100,1.27,TZ,1743884636
162,galle,6.0367,80.217,27.03,81,100,2.6,LK,1743884637
163,mount pleasant,32.7941,-79.8626,29.08,68,75,8.23,US,1743884638
164,la passe,45.5549,-0.8967,12.63,83,9,3.01,FR,1743884640
165,wanning,18.8003,110.3967,22.99,96,100,3.28,CN,1743884641
166,panaba,21.2833,-88.2667,34.82,32,0,10.61,MX,1743884642
167,guixi,28.2886,117.2133,14.91,64,10,0.89,CN,1743884643
168,san antonio de pale,-1.4014,5.6325,27.9,78,100,5.4,GQ,1743884645
169,stanley,54.868,-1.6985,5.01,80,75,3.6,GB,1743884646
170,jinghong,21.991,100.7341,21.64,46,89,0.96,CN,1743884647
171,buarcos,40.166,-8.8768,13.86,86,100,3.67,PT,1743884648
172,baneh,35.9975,45.8853,8.1,87,36,4.12,IR,1743884414
173,puerto armuelles,8.2833,-82.8667,27.83,75,100,0.45,PA,1743884650
174,ust-nera,64.5667,143.2,-17.36,100,100,1.33,RU,1743884652
175,mount isa,-20.7333,139.5,22.87,60,100,3.09,AU,1743884653
176,ugoofaaru,5.6667,73.0,28.81,69,46,1.8,MV,1743884654
177,gulf breeze,30.3571,-87.1639,25.7,86,100,8.23,US,1743884646
178,constantia,44.1833,28.65,10.39,85,91,5.73,RO,1743884645
179,touros,-5.1989,-35.4608,27.29,80,100,5.67,BR,1743884658
180,oak island,33.9166,-78.1611,26.16,76,0,5.66,US,1743884659
181,punta arenas,-53.15,-70.9167,10.06,76,0,2.57,CL,1743884661
182,howard springs,-12.497,131.047,25.95,94,97,1.43,AU,1743884662
183,sao vicente,-23.9631,-46.3919,21.1,26,100,2.06,BR,1743884663
184,talnakh,69.4865,88.3972,-24.01,90,31,2.04,RU,1743884664
185,st. john's,47.5649,-52.7093,0.71,81,75,10.29,CA,1743884433
186,enewetak,11.3474,162.3373,27.21,69,78,8.82,MH,1743884667
187,wailua homesteads,22.0669,-159.378,24.44,92,100,8.75,US,1743884668
188,point fortin,10.1833,-61.6833,26.59,78,100,5.19,TT,1743884669
189,bandarbeyla,9.4942,50.8122,26.2,76,22,3.61,SO,1743884670
190,xapuri,-10.6517,-68.5044,26.36,70,84,2.04,BR,1743884671
191,isangel,-19.55,169.2667,27.06,89,40,1.54,VU,1743884672
192,aksu,41.1231,80.2644,15.04,21,100,2.44,CN,1743884674
193,bredasdorp,-34.5322,20.0403,19.18,85,100,5.77,ZA,1743884676
194,ibiza,38.9088,1.433,16.07,76,0,3.09,ES,1743884677
195,college,64.8569,-147.8028,7.97,49,75,0.0,US,1743884678
196,raduzhnyy,62.0961,77.475,-3.97,96,100,4.63,RU,1743884679
197,katiola,8.1333,-5.1,27.95,59,97,1.79,CI,1743884680
198,piti village,13.4626,144.6933,27.49,83,20,3.09,GU,1743884682
199,adrar,20.5022,-10.0711,30.37,17,100,5.47,MR,1743884683
200,tchintabaraden,15.8969,5.7985,30.51,9,100,3.75,NE,1743884684
201,hamilton,39.1834,-84.5333,18.69,94,100,3.6,US,1743884618
202,vorgashor,67.5833,63.95,-10.96,96,100,2.19,RU,1743884686
203,rongelap,11.1635,166.8941,26.62,80,15,8.26,MH,1743884687
204,tyazhinskiy,56.116,88.524,0.78,85,100,5.38,RU,1743884689
205,acapulco de juarez,16.8634,-99.8901,28.9,74,0,5.14,MX,1743884690
206,siwa oasis,29.2041,25.5195,24.11,27,5,5.76,EG,1743884691
207,kidal,18.4411,1.4078,33.69,9,3,4.76,ML,1743884692
208,cabo san lucas,22.8909,-109.9124,23.2,33,0,3.6,MX,1743884693
209,walvis bay,-22.9575,14.5053,17.53,82,27,1.54,NA,1743884697
210,vryburg,-26.9566,24.7284,19.12,73,80,4.18,ZA,1743884698
211,yanchep,-31.55,115.6833,19.04,67,22,2.24,AU,1743884700
212,navolato,24.7672,-107.6944,25.1,11,0,5.59,MX,1743884701
213,dhamar,14.5427,44.4051,16.59,62,84,3.47,YE,1743884702
214,zaozersk,69.4005,32.4476,-5.78,92,100,4.04,RU,1743884703
215,tamandare,-8.7597,-35.1047,27.57,76,91,4.54,BR,1743884705
216,tazovsky,67.4667,78.7,-21.64,99,100,0.58,RU,1743884706
217,amlapura,-8.45,115.6167,23.17,86,37,1.96,ID,1743884708
218,lakatoro,-16.0999,167.4164,27.44,82,16,1.26,VU,1743884709
219,ikovka,55.6089,64.9375,4.23,84,99,2.17,RU,1743884710
220,maputo,-25.9653,32.5892,25.13,87,20,3.09,MZ,1743884713
221,new norfolk,-42.7826,147.0587,14.95,66,90,6.16,AU,1743884498
222,el alto,-4.2714,-81.2147,25.2,70,99,3.94,PE,1743884715
223,mae hong son,19.3003,97.9685,24.23,65,56,0.43,TH,1743884716
224,lake havasu city,34.4839,-114.3224,26.24,14,0,7.2,US,1743884717
225,laguna,38.421,-121.4238,22.35,42,0,1.54,US,1743884719
226,romanovo,52.6182,81.2271,4.48,59,32,6.4,RU,1743884720
227,banda aceh,5.5577,95.3222,26.9,79,100,3.67,ID,1743884721
228,nova vicosa,-17.8919,-39.3719,27.39,69,18,3.8,BR,1743884723
229,kruisfontein,-34.0033,24.7314,18.86,81,100,6.76,ZA,1743884725
230,atakpame,7.5333,1.1333,28.29,64,50,4.33,TG,1743884726
231,ternate,0.8,127.4,26.14,83,100,1.59,ID,1743884728
232,tymovskoye,50.8456,142.655,-9.88,98,52,1.43,RU,1743884730
233,eagle,43.6954,-116.354,16.41,29,0,2.57,US,1743884731
234,colonia,50.9333,6.95,12.19,49,0,2.06,DE,1743884732
235,fuglafjordur,62.244,-6.814,4.77,77,32,5.59,FO,1743884733
236,mutuali,-14.8706,37.0044,20.73,90,34,1.4,MZ,1743884735
237,gornopravdinsk,60.05,69.9,0.05,90,7,4.34,RU,1743884736
238,tamanrasset,22.785,5.5228,27.95,14,3,8.23,DZ,1743884737
239,mejit,10.2753,170.8646,27.23,77,77,8.27,MH,1743884738
240,port lincoln,-34.7333,135.8667,13.78,87,27,3.42,AU,1743884739
241,queenstown,-31.8976,26.8753,13.33,94,49,2.9,ZA,1743884741
242,lucapa,-8.4192,20.7447,19.55,96,100,1.45,AO,1743884742
243,forster,-32.1667,152.5167,14.5,78,3,2.74,AU,1743884743
244,masterton,-40.9597,175.6575,13.13,94,41,1.95,NZ,1743884744
245,arraial do cabo,-22.9661,-42.0278,23.92,83,100,3.6,BR,1743884727
246,susuman,62.7833,148.1667,-8.27,96,100,0.9,RU,1743884747
